indication,phase_label,n_total,n_evaluable,n_success,completion_rate,ci_lower,ci_upper,suppressed
T-cell acute lymphoblastic leukemia,PHASE2,2,0,0.0,,,,True
Hematology,PHASE1,18,11,6.0,0.5454545454545454,0.4954545454545454,0.5954545454545455,False
Anemia,PHASE4,3,2,2.0,1.0,0.95,1.05,False
"Complication,Postoperative",PHASE4,1,1,1.0,1.0,0.95,1.05,False
Central Nervous System Neoplasm,PHASE3,5,3,3.0,1.0,0.95,1.05,False
Castration-Resistant Prostate Carcinoma,UNKNOWN,1,1,1.0,1.0,0.95,1.05,False
Leiomyosarcoma,PHASE4,1,1,1.0,1.0,0.95,1.05,False
Castration-Resistant Prostate Carcinoma,EARLY_PHASE1,1,1,1.0,1.0,0.95,1.05,False
Extensive Stage Lung Small Cell Carcinoma,PHASE2,3,0,0.0,,,,True
BRAF V600 Mutation,PHASE1,1,0,0.0,,,,True
HER-2 Gene Amplification,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Bronchopulmonary Dysplasia,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Castration-Resistant Prostate Carcinoma,PHASE3,2,1,1.0,1.0,0.95,1.05,False
Sickle Cell Disease,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Thoracic Surgery,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
High Grade B-Cell Lymphoma,PHASE4,1,0,0.0,,,,True
Respiratory System Neoplasm,PHASE2,3,1,1.0,1.0,0.95,1.05,False
Respiratory Tract Disease,PHASE2,1,0,0.0,,,,True
Neoplasm Metastasis,PHASE1,3,3,2.0,0.6666666666666666,0.6166666666666666,0.7166666666666667,False
Actinic Keratosis,PHASE3,3,3,3.0,1.0,0.95,1.05,False
Urinary Tract Squamous Cell Carcinoma,PHASE1,1,0,0.0,,,,True
AML with maturation,PHASE2,2,2,1.0,0.5,0.45,0.55,False
Gastroesophageal Junction Cancer,PHASE1,6,4,1.0,0.25,0.2,0.3,False
Central Nervous System Neoplasm,UNKNOWN,1,1,1.0,1.0,0.95,1.05,False
Long-term Outcome,UNKNOWN,1,1,1.0,1.0,0.95,1.05,False
Malignant Neoplasm,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
"Follicular Helper T-Cell Lymphoma, Angioimmunoblastic-Type",PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Adult T-Cell Leukemia/Lymphoma,PHASE2,6,6,0.0,0.0,-0.05,0.05,False
Male Breast Cancer,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Laryngeal Cancer,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Essential Thrombocythemia,PHASE2,1,1,1.0,1.0,0.95,1.05,False
